parlamentar_id,ano,emenda_numero,status,modalidade,beneficiario_nome,localidade_beneficiada,objetivo_titulo,valor
ALEPI-18,2026,202630980583,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,MUNICPIO CARACOL PIAUI,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,260000.0
ALEPI-18,2026,202630980652,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,MUNICIPIO JARDIM DO MULATO PIAUÍ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",150000.0
ALEPI-18,2026,202630980740,Aprovada,Transferências com finalidade definida,FUNDO ESTADUAL DE SAÚDE - FUNSAUDE,Estado do Piauí,MELHORAR A QUALIDADE EM SAÚDE DO ESTADO DO PIAUÍ EM TODAS AS REGIÕES DE SAÚDE.,1750000.0
ALEPI-18,2026,202630980767,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,PREFEITURA MUNICIPAL DE OEIRAS,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,110000.0
ALEPI-18,2026,202630980768,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,Município São Francisco de Assis -PI,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",300000.0
ALEPI-18,2026,202630980785,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,PREFEITURA MUNICIPAL DE PIMENTEIRAS,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,1500000.0
ALEPI-18,2026,202630980813,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,CAMPO ALEGRE DO FIDALGO– PI ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",200000.0
ALEPI-18,2026,202630980814,Cancelada,Transferências com finalidade definida,COORDENADORIA DA JUVENTUDE DO ESTADO DO PIAUÍ - COJUV,ASSOCIAÇÃO SOLIDARIA PELA VIDA - ASPVIDA,PROMOVER AÇÕES QUE POSSIBILITEM O JOVEM AO MERCADO DE TRABALHO E A GERAÇÃO DE RENDA.,100000.0
ALEPI-18,2026,202630980845,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,CAJAZEIRAS DO PIAUÍ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-18,2026,202630980877,Aprovada,Transferências com finalidade definida,COORDENADORIA DA JUVENTUDE DO ESTADO DO PIAUÍ - COJUV,ASSOCIAÇÃO SOLIDARIA PELA VIDA - ASPVIDA,PROMOVER AÇÕES QUE POSSIBILITEM O JOVEM AO MERCADO DE TRABALHO E A GERAÇÃO DE RENDA.,100000.0
ALEPI-18,2026,202630980899,Cancelada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,BELA VISTA	DO	PIAUÍ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-18,2026,202630980900,Cancelada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,FLORESTA	DO	PIAUÍ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
