parlamentar_id,ano,emenda_numero,status,modalidade,beneficiario_nome,localidade_beneficiada,objetivo_titulo,valor
ALEPI-18,2026,202630981010,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,BELA VISTA,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-18,2026,202630981011,Cancelada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,FLORESTA DO PIAUÍ,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-18,2026,202630981058,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,São Miguel do Tapuio,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-18,2026,202630981112,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,Município de Caracol – PI.,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",350000.0
ALEPI-18,2026,202630981113,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,Município de Cocal – PI,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",150000.0
ALEPI-18,2026,202630981115,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,Município de Cristino Castro – PI.,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",350000.0
ALEPI-18,2026,202630981116,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,Município de Oeiras – PI,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",350000.0
ALEPI-18,2026,202630981117,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DAS CIDADES DO PIAUÍ - SECID,Fundação Terapêutica Monte Tabor Piripiri PI,"CONSTRUIR, REFORMAR E AMPLIAR OBRAS DE INFRAESTRUTURA NOS MUNICÍPIOS DO ESTADO.",130000.0
ALEPI-18,2026,202630981237,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,SANTA CRUZ DOS MILAGRES,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",100000.0
ALEPI-15,2026,202630990431,Aprovada,Transferências com finalidade definida,COORDENADORIA  ESTADUAL DE ENFRENTAMENTO ÀS DROGAS E FOMENTO AO LAZER - CENDFOL,Bom Jesus,"PROMOVER A SENSIBILIZAÇÃO E ORIENTAÇÃO DA SOCIEDADE EM RELAÇÃO A PREVENÇÃO DE USO DE DROGAS LÍCITAS E ILÍCITAS, BEM COMO RECONHECER COMPORTAMENTOS DE RISCOS.",120000.0
