ano,mes,tipo_despesa,valor_liquido,fornecedor,parlamentar_id
2025,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2025,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2024,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2023,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533563
2022,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),24460.0,,cmt-180002533563
2022,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2022,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2022,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),18750.0,,cmt-180002533563
2021,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2021,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533563
2026,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),30000.0,,cmt-180002533557
2026,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2026,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
