parlamentar_id,ano,numero_ano,nome_proponente,nome_concedente,valor_total,objeto,situacao,tipo_termo
PI-EXEC-GOVERNADOR,2024,104/2024,MOVIMENTO PELA PAZ NA PERIFERIA -  MP3,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,299958.56,"O presente Termo de Fomento tem como objeto a inclusão de atividades complementares ao sistema formal de ensino regular do Centro Estadual de Educação Profissional Residencial Esplanada, situado à Rua Carapicuíba (Antiga rua 09), Nº 6950, Loteamento Sete Estrela, sede do Movimento Pela Paz na Periferia, com ofertas de cursos profissionalizantes (informática básica, montagem e manutenção de computadores, robótica e eletrônica de reparos), oficinas (acesso à internet, metareciclagem, agricultura, música, grafite e criação de projetos de fabricação digital) e atividades esportivas, visando a aproximação com a comunidade, a redução da evasão escolar e episódios de violência. As ações serão voltadas para os jovens e seus familiares, incluindo novas tecnologias nas vivências dos mesmos, todas fomentando o despertar de um senso crítico voltado para a valorização do ambiente escolar e a cultura de paz. Temos como meta a realização de 560 atendimentos, entre alunos, pais e escolas circunvizinhas.",Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2024,103/2024,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES DA COMUNIDADE CATAREN,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,318197.26,"Apoio financeiro para implantação de uma Unidade de Beneficiamento de Mandioca na comunidade Catarem, zona rural do município de Nazaré do Piauí - PI.",Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2024,7/2024,PREFEITURA MUNICIPAL DE SÃO JOÃO DA SERRA,INSTITUTO DO DESENVOLVIMENTO DO PIAUI - IDEPI,149029.73,CONSTRUÇÃO DE PRACA PUBLICA NA SEDE DE SÃO JOÃO DA SERRA - PI,Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,6/2024,PREFEITURA MUNICIPAL DE SÃO JOÃO DA SERRA,INSTITUTO DO DESENVOLVIMENTO DO PIAUI - IDEPI,149029.73,CONSTRUÇÃO DE PRACA PUBLICA NA SEDE DO MUNICIPIO DE SÃO JOÃO DA SERRA - PI,Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,5/2024,PREFEITURA MUNICIPAL DE SANTA LUZ,INSTITUTO DO DESENVOLVIMENTO DO PIAUI - IDEPI,358919.06,CONSTRUÇÃO DE UMA PISTA DE COOPER NA SEDE DO MUNICIPIO DE SANTA LUZ - PI.,Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,102/2024,INSTITUTO COMRADIO DO BRASIL - UBIQUA,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,300000.0,": Realizar o FESTIVAL PUNARÊ, com cilona co edições do projeto em praças e/ou espaços públicos de eventos nos bairros da norte de Teresina, através de eventos compostos por shows musicais, dança, teatro, manifestações populares, feira de gastronomia e artesanato e festival de itérpretes, mobilizando artistas, artesãos, comerciantes de comida e bebida, p4dutores da agricultura familiar, escolas e toda a comunidade em geral.",,Fomento
PI-EXEC-GOVERNADOR,2024,4/2024,PREFEITURA MUNICIPAL DE REGENERAÇÃO,INSTITUTO DO DESENVOLVIMENTO DO PIAUI - IDEPI,0.0,"CONSTRUÇÃO, URBANIZAÇÃO E ILUMINAÇÃO PUBLICA DA PRAÇA DE EVENTOS NA SEDE DO MUNICIPIO DE REGENERAÇÃO.",Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,101/2024,ASSOCIAÇÃO PIAUIENSE DOS PRODUTORES DE SEMENTES E MUDAS - APSEM,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,699213.84,Apoio financeiro para o fomento a cadeia produtiva do caju no Estado do Piauí.,,Colaboração
PI-EXEC-GOVERNADOR,2024,100/2024,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ESPERANTINA - APAE ,SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,100000.0,EXECUÇÃO DO PROJETO SORRISO INCLUSIVO: promovendo Saúde Bucal e Equipando Sala de Fisioterapia na APAE de Esperantina-PI,,Fomento
PI-EXEC-GOVERNADOR,2024,99/2024,ASSOCIAÇÃO DE FAMILIARES E AMIGOS DE PESSOAS COM SÍNDROME DE DOWN TERESINA - PI  (ASSOCIAÇÃO DOWN THE AMO),SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,100000.0,"Execução do Projeto Inclusão Down: ""Projeto Incluir Down: Apoio Integral para o Desenvolvimento"".",,Fomento
